Year,Month,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004,3,0.3,845,-200,0.7476764553,472.25,15,1785.75,23,1278,378.25,16.5250000954,53.8749990463,1.0049393616
2004,3,0.3,833.75,19,0.6324529345,458.75,13,1908,22,1211.5,361.25,8.8250002861,80.4500007629,0.9147006711
2004,3,0.4,842,-200,0.7105175745,468,-200,1812.75,-200,1274.25,393.5,16.9249997139,53.9000005722,1.0308562691
2004,3,0.5,868.75,11,1.6068282575,553.5,28,1459.5,40,1267.75,667,11.8249998093,58.0250005722,0.8026319321
2004,3,0.5,890.75,18,1.8956482144,576.25,46,1416.5,53,1289.25,733,11.9000000954,57.3999996185,0.7978457041
2004,3,0.5,912.75,-200,1.2686021116,524.5,18,1619.75,28,1260.25,370,12.4500000477,66.8000011444,0.9620368804
2004,3,0.5,892,36,1.2437930533,522.25,-200,1522.25,-200,1284.5,456,11.0499999523,70.0499992371,0.9214781997
2004,3,0.5,908.5,26,1.7693789355,566.5,33,1542,47,1286.5,417.75,9.5750000477,75.375,0.9004028248
2004,3,0.5,858.25,29,0.9066972607,489.5,18,1706.75,28,1211.75,377.5,9.3249998093,72.2999992371,0.8495878268
2004,3,0.5,878,21,0.6160853558,456.75,12,1934.5,20,1157.75,343.5,9.8999998569,66.8000011444,0.815170605
2004,3,0.5,840.25,23,1.1019592525,509,22,1643,38,1075.75,352,10.4499998093,46.6499996185,0.5901335881
2004,3,0.5,832.25,22,0.9724494567,496.25,-200,1612.5,-200,1065.75,381,14.1999998093,36.1499996185,0.5823138415
2004,3,0.5,850.5,18,0.7901587665,477,15,1699,26,1064.25,343,14.5250000954,36.0500001907,0.5928172919
2004,3,0.6,1009.75,19,1.6966582577,560.75,-200,1705,-200,1234.75,501.25,10.2500002384,60.2000007629,0.7516571648
2004,3,0.6,847.25,7,1.022414599,501.25,30,1894.5,44,1154.75,394,6.2749999762,64.9750003815,0.6232823211
2004,3,0.6,937,17,2.0087426345,584.75,38,1411.5,52,1348,792.5,12.75,63.2250003815,0.928289804
2004,3,0.6,930.5,20,2.5480446928,622.75,37,1293.25,57,1306.5,827.75,12,58.8500003815,0.8233024519
2004,3,0.6,897,-200,1.7186528499,562.5,23,1416.5,33,1355,472.25,16.3250005245,56.9500007629,1.0490753496
2004,3,0.6,941.5,-200,2.0256093703,586,41,1479.5,46,1372.5,432,16.375,53.9999990463,0.9978546886
2004,3,0.6,878.25,29,1.5733010415,550.75,-200,1492.75,-200,1271.5,683.25,10.5750000477,61.5999994278,0.7856379642
2004,3,0.6,892.25,20,1.2383083169,521.75,34,1572,54,1254.75,647.75,10.875,58.6499996185,0.7627818896
2004,3,0.6,892.5,46,1.4422204215,539.75,43,1603.75,51,1267.5,412.5,7.5500000715,83.2249984741,0.8694953342
2004,3,0.6,861.5,43,1.6997929461,561,-200,1449.25,-200,1219.25,501.75,8.1750001907,68.4500007629,0.7454836149
2004,3,0.6,817.75,27,1.2575500759,523.5,21,1587.5,31,1071,341.25,10.7249999046,45.7750005722,0.5895459442
